,OPERATOR_CD,AIRCRAFT_CD,FLEET_CD,CHAPTER_CD,PART_GROUP_CD,PART_NUMBER,SERIAL_NUMBER,INSTALL_DT,REMOVAL_DT,AIRCRAFT_AGE,REPETITIVE_FAULT_QT,MEL_QTY,DELAY_QTY,TIME_SINCE_INSTALL_CYCLES,TIME_SINCE_NEW_CYCLES,PART_REMOVAL
7690,VST,955,737,25,D1AYUSJZ,WFFHRBSB2S,SO24X7S,12/6/2015 04:47:12 AM,12/8/2015,16,0,3.0,5.0,2,2,0
7691,VST,955,737,25,63AKIVTM,YIMYFTKOK4,SDJAD3D,12/8/2015 06:15:18 PM,2/12/2019,16,57,593.0,118.0,3373,3376,1
7692,VST,955,737,25,9J9W5M2K,VBN6R8TFNO,SLMZMTJ,1/24/2016 09:06:14 AM,5/22/2016,16,6,66.0,10.0,445,445,1
7693,VST,955,737,26,YY2CNGM9,5DDAN0ZQ4D,S2TNEP2,8/29/2018 06:58:00 AM,8/29/2018,18,0,68.0,10.0,0,0,1
7694,VST,955,737,27,WUQ009ZB,F2ZNOL4B4E,SJR8MC0,1/2/2016 09:42:23 AM,6/3/2017,16,12,267.0,91.0,1617,1617,1
7695,VST,955,737,27,6L3ZYPO0,XYJJPCWFMX,SQ0U8OD,10/9/2017 03:17:00 PM,10/9/2017,17,0,68.0,91.0,0,0,1
7696,VST,955,737,27,BCVYN3GP,EY51J5PJUR,SLD6UA8,8/7/2016 10:23:23 AM,11/28/2018,16,13,395.0,92.0,2262,2262,1
7697,VST,955,737,27,6L3ZYPO0,XYJJPCWFMX,SGBUY18,12/7/2016 07:37:00 AM,10/11/2017,17,0,141.0,70.0,780,780,1
7698,VST,955,737,27,76U4S6KC,QHTNM8AI07,SP4606P,8/21/2016 07:44:30 AM,8/19/2016,16,0,68.0,70.0,0,0,1
7699,VST,955,737,27,S0TXO15D,OULO4Q4KHD,S319SPY,12/28/2016 12:38:22 PM,1/2/2017,17,0,68.0,70.0,0,0,1
7700,VST,955,737,27,O2TTMHGN,CH4796JKU6,SRXDOSV,11/30/2016 10:31:13 AM,12/28/2016,17,2,68.0,70.0,0,0,1
7701,VST,955,737,27,LFQDHPC6,0ZVKQPYX1M,SFLFUXV,12/4/2016 01:47:56 PM,1/1/2017,17,0,68.0,70.0,0,0,1
7702,VST,955,737,27,7D2430VY,FAS4P6HDOY,SCXTRMG,1/30/2016 04:36:13 AM,11/13/2017,16,10,319.0,103.0,1829,1829,1
7703,VST,955,737,27,7D2430VY,VXYRKA5RCL,S2GFCQO,11/13/2017 01:32:00 PM,1/27/2019,18,7,223.0,5.0,1308,1308,1
7704,VST,955,737,28,ZOY6OO60,QCUL520T9F,SDO7RMW,3/31/2017 01:15:55 AM,3/31/2017,17,0,68.0,5.0,0,0,1
7705,VST,955,737,28,EIH8BS5J,9A2HU3BMQ7,S991VX7,7/6/2017 02:31:00 AM,12/25/2017,17,0,89.0,15.0,380,1929,0
7706,VST,955,737,28,U2L4DTN8,AI522DL8F5,S9F8TK5,11/29/2018 08:20:00 PM,11/29/2018,19,0,68.0,15.0,0,0,1
7707,VST,955,737,28,ZOY6OO60,QCUL520T9F,SDPJAZF,9/12/2017 08:16:00 AM,11/29/2018,17,2,212.0,4.0,1348,1407,1
7708,VST,955,737,28,ZOY6OO60,EYLJ15NJHY,S4BMCXJ,4/24/2017 03:34:00 AM,9/12/2017,17,2,62.0,24.0,226,226,1
